feature,media (μ),std (σ)
temperatura,27.67131046739835,3.502398342761796
humedad,39.29587857245138,12.328957360922503
CO,1885.4882798445815,415.29909586038934
CO2,2901.855385435481,3841.298327950939
NH3,2254.0323519608396,374.12226542442625
